file,label,total_imports,imp_crypto,imp_random,imp_file_ops,imp_volume_enum,imp_network_spread,imp_file_unlock,imp_process_enum,imp_shadow_service,imp_anti_analysis,indicative_category_count,static_crypto_libs
desktopimgdownldr.exe,benign,144,0,0,4,0,0,0,1,1,2,1,
DeviceCensus.exe,benign,155,0,0,2,0,0,0,0,0,2,0,
DeviceCredentialDeployment.exe,benign,131,0,0,0,0,0,0,1,0,2,1,
DeviceEject.exe,benign,45,0,0,0,0,0,0,0,0,1,0,
DeviceEnroller.exe,benign,302,0,0,0,0,0,0,2,0,2,1,
DevicePairingWizard.exe,benign,78,0,0,0,0,0,0,0,0,2,0,
DeviceProperties.exe,benign,36,0,0,0,0,0,0,0,0,1,0,
DFDWiz.exe,benign,112,0,0,1,3,0,0,2,0,1,2,
dfrgui.exe,benign,236,0,0,4,0,0,0,1,1,2,1,
dialer.exe,benign,140,0,0,0,0,0,0,0,0,2,0,
directxdatabaseupdater.exe,benign,268,0,0,2,0,0,0,1,1,2,1,
diskpart.exe,benign,119,0,0,2,0,0,0,0,0,1,0,
diskperf.exe,benign,78,0,0,1,2,0,0,0,0,2,1,
diskraid.exe,benign,81,0,0,1,0,0,0,0,0,1,0,
DiskSnapshot.exe,benign,120,2,0,2,0,0,0,0,0,2,1,
diskusage.exe,benign,111,0,0,4,0,0,0,2,0,1,1,
Dism.exe,benign,206,0,0,4,1,0,0,2,1,2,2,
dispdiag.exe,benign,204,0,0,3,0,0,0,0,3,2,0,
DisplaySwitch.exe,benign,94,0,0,0,0,0,0,0,0,1,0,
djoin.exe,benign,138,0,0,4,0,0,0,1,3,1,1,
dllhost.exe,benign,88,0,0,0,0,0,0,0,0,2,0,
dllhst3g.exe,benign,88,0,0,0,0,0,0,0,0,2,0,
dmcertinst.exe,benign,199,0,0,2,0,0,0,1,0,2,1,
dmcfghost.exe,benign,98,0,0,3,0,0,0,0,1,1,0,
dmclient.exe,benign,149,1,0,4,0,0,0,0,1,2,1,
DmNotificationBroker.exe,benign,90,0,0,0,0,0,0,0,0,1,0,
DmOmaCpMo.exe,benign,103,0,0,1,0,0,0,0,0,2,0,
dnscacheugc.exe,benign,74,0,0,0,0,0,0,0,0,1,0,
doskey.exe,benign,84,0,0,0,0,0,0,0,0,1,0,
dpapimig.exe,benign,104,0,0,0,0,0,0,1,0,1,1,
DpiScaling.exe,benign,34,0,0,0,0,0,0,0,0,1,0,
dpnsvr.exe,benign,25,0,0,0,0,0,0,0,0,2,0,
driverquery.exe,benign,153,0,0,2,0,1,0,0,0,1,1,
drvinst.exe,benign,267,0,0,6,0,0,0,1,1,3,1,
DsmUserTask.exe,benign,85,0,0,0,0,0,0,0,0,2,0,
dsregcmd.exe,benign,361,1,0,0,0,0,0,1,0,2,2,
dstokenclean.exe,benign,42,0,0,0,0,0,0,0,0,1,0,
dtdump.exe,benign,105,0,0,0,0,0,0,0,0,2,0,
dusmtask.exe,benign,92,0,0,0,0,0,0,0,0,2,0,
dvdplay.exe,benign,43,0,0,0,0,0,0,0,0,2,0,
dwm.exe,benign,184,0,0,0,0,0,0,2,0,3,1,
DWWIN.EXE,benign,283,0,0,2,1,0,0,2,3,3,2,
DXCap.exe,benign,326,0,0,4,0,0,0,2,0,3,1,
DXCpl.exe,benign,140,0,0,0,0,0,0,0,0,2,0,
dxdiag.exe,benign,218,0,0,2,0,0,0,0,0,2,0,
dxgiadaptercache.exe,benign,151,0,0,0,0,0,0,0,0,2,0,
Dxpserver.exe,benign,297,0,0,3,0,0,0,0,0,2,0,
Eap3Host.exe,benign,72,0,0,0,0,0,0,0,2,2,0,
EaseOfAccessDialog.exe,benign,327,0,0,1,0,0,0,1,1,2,1,
easinvoker.exe,benign,155,0,0,1,0,0,0,1,0,1,1,
EASPolicyManagerBrokerHost.exe,benign,127,0,0,0,0,0,0,0,0,2,0,
edit.exe,benign,106,0,0,5,0,0,0,0,0,2,0,
EDPCleanup.exe,benign,175,0,0,3,1,0,0,1,0,1,2,
edpnotify.exe,benign,127,0,0,0,0,0,0,0,0,2,0,
EduPrintProv.exe,benign,186,0,0,0,0,0,0,0,0,2,0,
efsui.exe,benign,52,1,0,0,0,0,0,1,0,1,2,
EhStorAuthn.exe,benign,121,0,0,1,0,0,0,0,0,1,0,
EoAExperiences.exe,benign,159,0,0,0,0,0,0,0,0,2,0,
esentutl.exe,benign,247,0,1,7,3,0,0,2,1,2,2,boost
esimtool.exe,benign,84,0,0,0,0,0,0,0,0,2,0,
eudcedit.exe,benign,270,0,0,6,0,0,0,0,1,2,0,
eventcreate.exe,benign,105,0,0,1,0,1,0,1,0,1,2,
eventvwr.exe,benign,57,0,0,1,0,0,0,0,0,1,0,
expand.exe,benign,129,0,0,2,0,0,0,0,0,1,0,
extrac32.exe,benign,99,0,0,1,0,0,0,0,0,2,0,
fc.exe,benign,112,0,0,0,0,0,0,0,0,1,0,
fclip.exe,benign,235,2,0,0,0,0,0,0,0,2,1,
fhmanagew.exe,benign,166,0,0,2,2,0,0,0,0,2,1,
FileDialogBroker.exe,benign,133,0,0,1,0,0,0,1,0,2,1,
FileHistory.exe,benign,107,0,0,0,0,0,0,0,0,1,0,
find.exe,benign,79,0,0,0,0,0,0,0,0,1,0,
findstr.exe,benign,101,0,0,3,0,0,0,0,0,1,0,
finger.exe,benign,65,0,0,0,0,0,0,0,0,1,0,
fixmapi.exe,benign,76,0,0,0,0,0,0,0,0,2,0,
fltMC.exe,benign,81,0,0,1,0,0,0,2,0,2,1,
fodhelper.exe,benign,105,0,0,0,0,0,0,0,0,1,0,
Fondue.exe,benign,83,0,0,0,0,0,0,0,0,2,0,
fontdrvhost.exe,benign,154,0,1,0,0,0,0,0,0,2,0,
fontview.exe,benign,146,0,0,1,0,0,0,0,0,2,0,
forfiles.exe,benign,102,0,0,1,0,0,0,0,0,1,0,
fsavailux.exe,benign,70,0,0,1,0,0,0,2,0,1,1,
FsIso.exe,benign,81,0,0,0,0,0,0,0,0,2,0,
fsquirt.exe,benign,222,0,1,5,0,0,0,0,1,2,0,
fsutil.exe,benign,222,0,0,7,4,0,0,2,1,1,2,
ftp.exe,benign,161,0,0,5,0,0,0,0,0,2,0,
fvenotify.exe,benign,144,0,0,1,0,0,0,2,0,2,1,
fveprompt.exe,benign,84,0,0,0,1,0,0,0,0,1,1,
FXSCOVER.exe,benign,251,0,0,0,0,0,0,0,0,2,0,
FXSSVC.exe,benign,390,0,0,7,0,0,0,2,4,2,1,
FXSUNATD.exe,benign,99,0,0,0,0,0,0,0,0,2,0,
GameBarPresenceWriter.exe,benign,177,0,0,0,0,0,0,0,0,1,0,
GameInputSvc.exe,benign,90,0,0,5,0,0,0,2,1,0,1,
GamePanel.exe,benign,361,2,0,3,0,0,0,1,1,1,2,
