task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,peak_shot,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
437,4,8,66,0.1212,0.047,yes,0003.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/437/shots/0001.jpg,/opt/CAPEv2/storage/analyses/437/shots/0004.jpg
438,47,10,66,0.1515,0.0628,yes,0034.jpg,TRUE_ENCRYPTION,52,agree,/opt/CAPEv2/storage/analyses/438/shots/0001.jpg,/opt/CAPEv2/storage/analyses/438/shots/0047.jpg
439,49,11,66,0.1667,0.0601,yes,0006.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/439/shots/0001.jpg,/opt/CAPEv2/storage/analyses/439/shots/0049.jpg
440,1,,,,,unknown,,FAILED,0,,/opt/CAPEv2/storage/analyses/440/shots/0001.jpg,
441,7,54,66,0.8182,0.6634,yes,0004.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/441/shots/0001.jpg,/opt/CAPEv2/storage/analyses/441/shots/0007.jpg
442,8,8,66,0.1212,0.0444,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/442/shots/0001.jpg,/opt/CAPEv2/storage/analyses/442/shots/0008.jpg
443,61,66,66,1.0,0.85,yes,0056.jpg,TRUE_ENCRYPTION,8,agree,/opt/CAPEv2/storage/analyses/443/shots/0001.jpg,/opt/CAPEv2/storage/analyses/443/shots/0061.jpg
444,26,10,66,0.1515,0.0541,yes,0012.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/444/shots/0001.jpg,/opt/CAPEv2/storage/analyses/444/shots/0026.jpg
445,8,54,66,0.8182,0.6629,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/445/shots/0001.jpg,/opt/CAPEv2/storage/analyses/445/shots/0008.jpg
446,41,40,66,0.6061,0.1275,yes,0041.jpg,TRUE_ENCRYPTION,0,agree,/opt/CAPEv2/storage/analyses/446/shots/0001.jpg,/opt/CAPEv2/storage/analyses/446/shots/0041.jpg
447,55,66,66,1.0,0.9621,yes,0018.jpg,TRUE_ENCRYPTION,50,agree,/opt/CAPEv2/storage/analyses/447/shots/0001.jpg,/opt/CAPEv2/storage/analyses/447/shots/0055.jpg
448,5,8,66,0.1212,0.0459,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/448/shots/0001.jpg,/opt/CAPEv2/storage/analyses/448/shots/0005.jpg
449,22,66,66,1.0,0.9721,yes,0017.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/449/shots/0001.jpg,/opt/CAPEv2/storage/analyses/449/shots/0022.jpg
450,9,8,66,0.1212,0.0587,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/450/shots/0001.jpg,/opt/CAPEv2/storage/analyses/450/shots/0009.jpg
451,1,,,,,unknown,,FAILED,0,,/opt/CAPEv2/storage/analyses/451/shots/0001.jpg,
452,2,4,66,0.0606,0.0166,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/452/shots/0001.jpg,/opt/CAPEv2/storage/analyses/452/shots/0002.jpg
453,63,66,66,1.0,0.9423,yes,0014.jpg,TRUE_ENCRYPTION,111,agree,/opt/CAPEv2/storage/analyses/453/shots/0001.jpg,/opt/CAPEv2/storage/analyses/453/shots/0063.jpg
454,26,12,66,0.1818,0.0683,yes,0017.jpg,TRUE_ENCRYPTION,8,agree,/opt/CAPEv2/storage/analyses/454/shots/0001.jpg,/opt/CAPEv2/storage/analyses/454/shots/0026.jpg
455,42,15,66,0.2273,0.0836,yes,0004.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/455/shots/0001.jpg,/opt/CAPEv2/storage/analyses/455/shots/0042.jpg
